country,year,life_satisfaction,DATAFLOW,LAST UPDATE,freq
Albania,2018,5.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Albania,2021,5.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Austria,2013,7.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Austria,2018,8.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Austria,2021,8.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Austria,2022,7.9,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Austria,2023,7.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Belgium,2013,7.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Belgium,2018,7.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Belgium,2021,7.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Belgium,2022,7.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Belgium,2023,7.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Bulgaria,2013,4.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Bulgaria,2018,5.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Bulgaria,2021,5.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Bulgaria,2022,5.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Bulgaria,2023,5.9,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Switzerland,2013,8.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Switzerland,2018,8.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Switzerland,2021,7.9,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Switzerland,2022,8.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Switzerland,2023,7.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Cyprus,2013,6.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Cyprus,2018,7.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Cyprus,2021,6.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Cyprus,2022,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Cyprus,2023,7.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Czechia,2013,6.9,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Czechia,2018,7.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Czechia,2021,7.3,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Czechia,2022,7.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Czechia,2023,7.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Germany,2013,7.3,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Germany,2018,7.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Germany,2022,6.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Germany,2023,7.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Denmark,2013,8.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Denmark,2018,7.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Denmark,2021,7.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Denmark,2022,7.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Denmark,2023,7.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Euro area – 20 countries (from 2023),2022,7.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Euro area – 20 countries (from 2023),2023,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Estonia,2013,6.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Estonia,2018,7.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Estonia,2021,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Estonia,2022,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Estonia,2023,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
