DATAFLOW,LAST UPDATE,freq,age,sex,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_DI03(1.0),16/06/25 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Albania,2018,1997,,
ESTAT:ILC_DI03(1.0),16/06/25 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Albania,2021,2583,,
ESTAT:ILC_DI03(1.0),16/06/25 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Austria,2013,22073,,
ESTAT:ILC_DI03(1.0),16/06/25 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Austria,2018,25176,,
ESTAT:ILC_DI03(1.0),16/06/25 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Austria,2021,27428,,
ESTAT:ILC_DI03(1.0),16/06/25 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Austria,2022,27844,,
ESTAT:ILC_DI03(1.0),16/06/25 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Austria,2023,31443,,
ESTAT:ILC_DI03(1.0),16/06/25 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Austria,2024,33210,,
ESTAT:ILC_DI03(1.0),16/06/25 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Belgium,2013,21483,,
ESTAT:ILC_DI03(1.0),16/06/25 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Belgium,2018,23686,,
ESTAT:ILC_DI03(1.0),16/06/25 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Belgium,2021,25855,,
ESTAT:ILC_DI03(1.0),16/06/25 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Belgium,2022,27314,,
ESTAT:ILC_DI03(1.0),16/06/25 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Belgium,2023,28997,,
ESTAT:ILC_DI03(1.0),16/06/25 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Belgium,2024,30392,,
ESTAT:ILC_DI03(1.0),16/06/25 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Bulgaria,2013,2924,,
ESTAT:ILC_DI03(1.0),16/06/25 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Bulgaria,2018,3590,,
